Index,Info,MeanBS,StdBS,MaxBS,MeanSS,StdSS,MaxSS,MeanTS,StdTS,MaxTS,BS_frac
0,0,145.01,145.01,145.01,18.790000000000006,18.790000000000006,18.790000000000006,163.8,163.8,163.8,[0.88528694]
1,3,119.83,119.83,119.83,43.970000000000006,43.970000000000006,43.970000000000006,163.8,163.8,163.8,[0.73156288]
2,3,113.29999999999998,113.29999999999998,113.29999999999998,0.0,0.0,0.0,113.29999999999998,113.29999999999998,113.29999999999998,[1.]
3,2,121.70500000000001,121.70500000000001,121.70500000000001,42.095000000000006,42.095000000000006,42.095000000000006,163.8,163.8,163.8,[0.74300977]
