,rnd,buyerValues,sellerCosts,demand,supply,prices,peq,qeq,buyerReservationPrices,sellerReservationPrices,buyerSurplus,sellerSurplus,totalSurplus,buyerSurplusFrac,sellerSurplusFrac
0,0,"[[87.74221057 85.77941495 80.61733919 73.02522643]
 [83.72972845 77.06907271 76.29920791 71.91736554]
 [87.15290364 80.66278053 79.25357118 78.37783256]
 [90.95861868 86.97968548 79.00591929 78.03144368]]","[[45.41831223 47.34496688 49.62393481 55.22531385]
 [46.82289214 52.8788455  53.19872591 55.54677885]
 [42.72590783 44.11048436 54.58036007 56.14167012]
 [45.06368111 45.6601179  49.55433163 52.21652551]]","[16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 15 15 14 14 14 14 14 14 13 13 12 12 10 10  8  8  8  6  6  6  6  6  6  5
  5  5  5  4  4  4  2  1  1  1  1  1  1  1  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0]","[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  2  2  3  5  5  5  6  7
  7  7  7  9  9  9  9  9 10 10 12 12 12 13 14 15 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16]","[  0.           0.50251256   1.00502513   1.50753769   2.01005025
   2.51256281   3.01507538   3.51758794   4.0201005    4.52261307
   5.02512563   5.52763819   6.03015075   6.53266332   7.03517588
   7.53768844   8.04020101   8.54271357   9.04522613   9.54773869
  10.05025126  10.55276382  11.05527638  11.55778894  12.06030151
  12.56281407  13.06532663  13.5678392   14.07035176  14.57286432
  15.07537688  15.57788945  16.08040201  16.58291457  17.08542714
  17.5879397   18.09045226  18.59296482  19.09547739  19.59798995
  20.10050251  20.60301508  21.10552764  21.6080402   22.11055276
  22.61306533  23.11557789  23.61809045  24.12060302  24.62311558
  25.12562814  25.6281407   26.13065327  26.63316583  27.13567839
  27.63819095  28.14070352  28.64321608  29.14572864  29.64824121
  30.15075377  30.65326633  31.15577889  31.65829146  32.16080402
  32.66331658  33.16582915  33.66834171  34.17085427  34.67336683
  35.1758794   35.67839196  36.18090452  36.68341709  37.18592965
  37.68844221  38.19095477  38.69346734  39.1959799   39.69849246
  40.20100503  40.70351759  41.20603015  41.70854271  42.21105528
  42.71356784  43.2160804   43.71859296  44.22110553  44.72361809
  45.22613065  45.72864322  46.23115578  46.73366834  47.2361809
  47.73869347  48.24120603  48.74371859  49.24623116  49.74874372
  50.25125628  50.75376884  51.25628141  51.75879397  52.26130653
  52.7638191   53.26633166  53.76884422  54.27135678  54.77386935
  55.27638191  55.77889447  56.28140704  56.7839196   57.28643216
  57.78894472  58.29145729  58.79396985  59.29648241  59.79899497
  60.30150754  60.8040201   61.30653266  61.80904523  62.31155779
  62.81407035  63.31658291  63.81909548  64.32160804  64.8241206
  65.32663317  65.82914573  66.33165829  66.83417085  67.33668342
  67.83919598  68.34170854  68.84422111  69.34673367  69.84924623
  70.35175879  70.85427136  71.35678392  71.85929648  72.36180905
  72.86432161  73.36683417  73.86934673  74.3718593   74.87437186
  75.37688442  75.87939698  76.38190955  76.88442211  77.38693467
  77.88944724  78.3919598   78.89447236  79.39698492  79.89949749
  80.40201005  80.90452261  81.40703518  81.90954774  82.4120603
  82.91457286  83.41708543  83.91959799  84.42211055  84.92462312
  85.42713568  85.92964824  86.4321608   86.93467337  87.43718593
  87.93969849  88.44221106  88.94472362  89.44723618  89.94974874
  90.45226131  90.95477387  91.45728643  91.95979899  92.46231156
  92.96482412  93.46733668  93.96984925  94.47236181  94.97487437
  95.47738693  95.9798995   96.48241206  96.98492462  97.48743719
  97.98994975  98.49246231  98.99497487  99.49748744 100.        ]",64.1,16,"[71.85929648 72.86432161 75.87939698 76.88442211 77.88944724 78.89447236
 80.40201005 83.41708543 85.42713568 86.93467337 87.43718593 90.95477387]","[42.71356784 43.71859296 44.72361809 45.22613065 46.73366834 47.2361809
 49.24623116 51.75879397 52.7638191  54.27135678 54.77386935 55.27638191
 55.77889447]",271.0,229.5,500.0,0.5,0.5
1,1,"[[83.10017453 80.28970807 75.59500554 72.63269759]
 [82.98066985 78.76720968 76.44882222 74.57005617]
 [94.03443277 79.11682666 78.84295909 76.08515046]
 [87.53660846 86.26799436 81.18548132 78.97747296]]","[[42.06190945 46.33370634 52.64588625 60.57099666]
 [44.63195556 49.35884714 51.8386866  52.0345758 ]
 [50.68258766 53.38897772 54.70495492 58.03572083]
 [31.61883377 44.01281897 45.36521761 49.55043865]]","[16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 15 15 15 15 14 14 13 12 11 11 11 11  9  7  7  6  6  5  5  5  5  3  3
  3  3  3  3  2  2  2  1  1  1  1  1  1  1  1  1  1  1  1  1  0  0  0  0
  0  0  0  0  0  0  0  0]","[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  2  2  2  2  3  4  4  5  5  6  6  6
  6  6  6  8  8  9  9  9 11 12 12 13 13 14 14 14 14 14 14 14 15 15 15 15
 15 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16]","[  0.           0.50251256   1.00502513   1.50753769   2.01005025
   2.51256281   3.01507538   3.51758794   4.0201005    4.52261307
   5.02512563   5.52763819   6.03015075   6.53266332   7.03517588
   7.53768844   8.04020101   8.54271357   9.04522613   9.54773869
  10.05025126  10.55276382  11.05527638  11.55778894  12.06030151
  12.56281407  13.06532663  13.5678392   14.07035176  14.57286432
  15.07537688  15.57788945  16.08040201  16.58291457  17.08542714
  17.5879397   18.09045226  18.59296482  19.09547739  19.59798995
  20.10050251  20.60301508  21.10552764  21.6080402   22.11055276
  22.61306533  23.11557789  23.61809045  24.12060302  24.62311558
  25.12562814  25.6281407   26.13065327  26.63316583  27.13567839
  27.63819095  28.14070352  28.64321608  29.14572864  29.64824121
  30.15075377  30.65326633  31.15577889  31.65829146  32.16080402
  32.66331658  33.16582915  33.66834171  34.17085427  34.67336683
  35.1758794   35.67839196  36.18090452  36.68341709  37.18592965
  37.68844221  38.19095477  38.69346734  39.1959799   39.69849246
  40.20100503  40.70351759  41.20603015  41.70854271  42.21105528
  42.71356784  43.2160804   43.71859296  44.22110553  44.72361809
  45.22613065  45.72864322  46.23115578  46.73366834  47.2361809
  47.73869347  48.24120603  48.74371859  49.24623116  49.74874372
  50.25125628  50.75376884  51.25628141  51.75879397  52.26130653
  52.7638191   53.26633166  53.76884422  54.27135678  54.77386935
  55.27638191  55.77889447  56.28140704  56.7839196   57.28643216
  57.78894472  58.29145729  58.79396985  59.29648241  59.79899497
  60.30150754  60.8040201   61.30653266  61.80904523  62.31155779
  62.81407035  63.31658291  63.81909548  64.32160804  64.8241206
  65.32663317  65.82914573  66.33165829  66.83417085  67.33668342
  67.83919598  68.34170854  68.84422111  69.34673367  69.84924623
  70.35175879  70.85427136  71.35678392  71.85929648  72.36180905
  72.86432161  73.36683417  73.86934673  74.3718593   74.87437186
  75.37688442  75.87939698  76.38190955  76.88442211  77.38693467
  77.88944724  78.3919598   78.89447236  79.39698492  79.89949749
  80.40201005  80.90452261  81.40703518  81.90954774  82.4120603
  82.91457286  83.41708543  83.91959799  84.42211055  84.92462312
  85.42713568  85.92964824  86.4321608   86.93467337  87.43718593
  87.93969849  88.44221106  88.94472362  89.44723618  89.94974874
  90.45226131  90.95477387  91.45728643  91.95979899  92.46231156
  92.96482412  93.46733668  93.96984925  94.47236181  94.97487437
  95.47738693  95.9798995   96.48241206  96.98492462  97.48743719
  97.98994975  98.49246231  98.99497487  99.49748744 100.        ]",66.6,16,"[72.36180905 74.3718593  75.37688442 75.87939698 76.38190955 78.3919598
 78.89447236 79.89949749 80.90452261 82.91457286 85.92964824 87.43718593
 93.96984925]","[31.15577889 41.70854271 43.71859296 44.22110553 45.22613065 46.23115578
 49.24623116 50.25125628 51.75879397 52.26130653 53.26633166 54.27135678
 57.78894472 60.30150754]",220.8,278.8,500.0,0.4,0.6
2,2,"[[80.87110858 80.78607042 79.34874817 74.36120876]
 [87.49807207 83.34486533 77.55742351 71.27148465]
 [80.78434626 80.50283218 79.79575213 78.19634074]
 [86.06175933 84.08193507 73.78905683 71.28287226]]","[[46.16337868 50.76879548 56.15403347 56.91782982]
 [44.11045099 46.4176271  48.8159832  54.86278527]
 [40.383513   50.14322926 52.42940114 59.62651823]
 [45.17441127 46.36662546 47.78245835 52.84713253]]","[16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 14 14
 14 14 14 13 12 12 12 12 12 12 12 11 10 10  9  8  8  4  4  4  4  4  3  3
  2  2  2  2  1  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0]","[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  1  1  1  1  1  1  1  2  2  3  3  4  6  6  6
  7  7  8  8  9  9 10 10 10 11 12 12 12 12 13 13 14 14 15 15 15 15 15 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16]","[  0.           0.50251256   1.00502513   1.50753769   2.01005025
   2.51256281   3.01507538   3.51758794   4.0201005    4.52261307
   5.02512563   5.52763819   6.03015075   6.53266332   7.03517588
   7.53768844   8.04020101   8.54271357   9.04522613   9.54773869
  10.05025126  10.55276382  11.05527638  11.55778894  12.06030151
  12.56281407  13.06532663  13.5678392   14.07035176  14.57286432
  15.07537688  15.57788945  16.08040201  16.58291457  17.08542714
  17.5879397   18.09045226  18.59296482  19.09547739  19.59798995
  20.10050251  20.60301508  21.10552764  21.6080402   22.11055276
  22.61306533  23.11557789  23.61809045  24.12060302  24.62311558
  25.12562814  25.6281407   26.13065327  26.63316583  27.13567839
  27.63819095  28.14070352  28.64321608  29.14572864  29.64824121
  30.15075377  30.65326633  31.15577889  31.65829146  32.16080402
  32.66331658  33.16582915  33.66834171  34.17085427  34.67336683
  35.1758794   35.67839196  36.18090452  36.68341709  37.18592965
  37.68844221  38.19095477  38.69346734  39.1959799   39.69849246
  40.20100503  40.70351759  41.20603015  41.70854271  42.21105528
  42.71356784  43.2160804   43.71859296  44.22110553  44.72361809
  45.22613065  45.72864322  46.23115578  46.73366834  47.2361809
  47.73869347  48.24120603  48.74371859  49.24623116  49.74874372
  50.25125628  50.75376884  51.25628141  51.75879397  52.26130653
  52.7638191   53.26633166  53.76884422  54.27135678  54.77386935
  55.27638191  55.77889447  56.28140704  56.7839196   57.28643216
  57.78894472  58.29145729  58.79396985  59.29648241  59.79899497
  60.30150754  60.8040201   61.30653266  61.80904523  62.31155779
  62.81407035  63.31658291  63.81909548  64.32160804  64.8241206
  65.32663317  65.82914573  66.33165829  66.83417085  67.33668342
  67.83919598  68.34170854  68.84422111  69.34673367  69.84924623
  70.35175879  70.85427136  71.35678392  71.85929648  72.36180905
  72.86432161  73.36683417  73.86934673  74.3718593   74.87437186
  75.37688442  75.87939698  76.38190955  76.88442211  77.38693467
  77.88944724  78.3919598   78.89447236  79.39698492  79.89949749
  80.40201005  80.90452261  81.40703518  81.90954774  82.4120603
  82.91457286  83.41708543  83.91959799  84.42211055  84.92462312
  85.42713568  85.92964824  86.4321608   86.93467337  87.43718593
  87.93969849  88.44221106  88.94472362  89.44723618  89.94974874
  90.45226131  90.95477387  91.45728643  91.95979899  92.46231156
  92.96482412  93.46733668  93.96984925  94.47236181  94.97487437
  95.47738693  95.9798995   96.48241206  96.98492462  97.48743719
  97.98994975  98.49246231  98.99497487  99.49748744 100.        ]",65.3,16,"[70.85427136 73.36683417 73.86934673 77.38693467 77.88944724 78.89447236
 79.39698492 80.40201005 82.91457286 83.91959799 85.92964824 87.43718593]","[40.20100503 43.71859296 44.72361809 45.72864322 46.23115578 47.73869347
 48.74371859 49.74874372 50.75376884 52.26130653 52.7638191  54.77386935
 55.77889447 56.7839196  59.29648241]",224.7,245.8,470.0,0.5,0.5
3,3,"[[81.0422006  75.05369517 71.8130081  71.64668186]
 [84.56132018 80.6636958  79.84004036 79.01229023]
 [97.3612071  79.14914628 78.6690923  75.65980464]
 [83.70579287 77.11629224 75.62097198 73.87768342]]","[[41.59331653 50.42756343 51.48624426 55.21387874]
 [45.83353446 53.62796102 53.93666258 60.67100207]
 [45.48874316 47.28526039 52.63664295 54.36939995]
 [39.04725821 44.09297796 49.12324827 57.65880446]]","[16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 14
 14 14 14 14 13 13 12 10 10 10  9  9  9  8  6  5  5  4  3  3  3  3  3  2
  2  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  0  0  0  0  0  0]","[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  1  1  1  1  1  2  2  2  2  2  3  3  3  4  5  5  5  6
  6  6  7  7  7  8  8  9  9 10 10 11 12 13 14 14 14 14 14 15 15 15 15 15
 15 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16]","[  0.           0.50251256   1.00502513   1.50753769   2.01005025
   2.51256281   3.01507538   3.51758794   4.0201005    4.52261307
   5.02512563   5.52763819   6.03015075   6.53266332   7.03517588
   7.53768844   8.04020101   8.54271357   9.04522613   9.54773869
  10.05025126  10.55276382  11.05527638  11.55778894  12.06030151
  12.56281407  13.06532663  13.5678392   14.07035176  14.57286432
  15.07537688  15.57788945  16.08040201  16.58291457  17.08542714
  17.5879397   18.09045226  18.59296482  19.09547739  19.59798995
  20.10050251  20.60301508  21.10552764  21.6080402   22.11055276
  22.61306533  23.11557789  23.61809045  24.12060302  24.62311558
  25.12562814  25.6281407   26.13065327  26.63316583  27.13567839
  27.63819095  28.14070352  28.64321608  29.14572864  29.64824121
  30.15075377  30.65326633  31.15577889  31.65829146  32.16080402
  32.66331658  33.16582915  33.66834171  34.17085427  34.67336683
  35.1758794   35.67839196  36.18090452  36.68341709  37.18592965
  37.68844221  38.19095477  38.69346734  39.1959799   39.69849246
  40.20100503  40.70351759  41.20603015  41.70854271  42.21105528
  42.71356784  43.2160804   43.71859296  44.22110553  44.72361809
  45.22613065  45.72864322  46.23115578  46.73366834  47.2361809
  47.73869347  48.24120603  48.74371859  49.24623116  49.74874372
  50.25125628  50.75376884  51.25628141  51.75879397  52.26130653
  52.7638191   53.26633166  53.76884422  54.27135678  54.77386935
  55.27638191  55.77889447  56.28140704  56.7839196   57.28643216
  57.78894472  58.29145729  58.79396985  59.29648241  59.79899497
  60.30150754  60.8040201   61.30653266  61.80904523  62.31155779
  62.81407035  63.31658291  63.81909548  64.32160804  64.8241206
  65.32663317  65.82914573  66.33165829  66.83417085  67.33668342
  67.83919598  68.34170854  68.84422111  69.34673367  69.84924623
  70.35175879  70.85427136  71.35678392  71.85929648  72.36180905
  72.86432161  73.36683417  73.86934673  74.3718593   74.87437186
  75.37688442  75.87939698  76.38190955  76.88442211  77.38693467
  77.88944724  78.3919598   78.89447236  79.39698492  79.89949749
  80.40201005  80.90452261  81.40703518  81.90954774  82.4120603
  82.91457286  83.41708543  83.91959799  84.42211055  84.92462312
  85.42713568  85.92964824  86.4321608   86.93467337  87.43718593
  87.93969849  88.44221106  88.94472362  89.44723618  89.94974874
  90.45226131  90.95477387  91.45728643  91.95979899  92.46231156
  92.96482412  93.46733668  93.96984925  94.47236181  94.97487437
  95.47738693  95.9798995   96.48241206  96.98492462  97.48743719
  97.98994975  98.49246231  98.99497487  99.49748744 100.        ]",66.1,16,"[71.35678392 73.86934673 74.87437186 75.37688442 76.88442211 78.3919598
 78.89447236 79.39698492 80.40201005 80.90452261 83.41708543 84.42211055
 96.98492462]","[38.69346734 41.20603015 43.71859296 45.22613065 45.72864322 47.2361809
 48.74371859 50.25125628 51.25628141 52.26130653 53.26633166 53.76884422
 54.27135678 54.77386935 57.28643216 60.30150754]",207.2,255.1,462.0,0.4,0.6
4,4,"[[85.52084305 81.5744384  76.97365883 74.4921437 ]
 [86.0363926  83.93299212 78.26044696 76.53119024]
 [87.69892093 80.77245045 79.62667307 71.11677173]
 [88.29298048 84.17333737 83.68252084 79.14224791]]","[[47.46467691 47.61976194 52.37336206 53.829758  ]
 [38.55704644 46.2260453  47.31078232 47.70520905]
 [49.05849047 50.47932166 53.1334307  58.83681306]
 [46.56123025 49.17681394 55.6347855  56.27170705]]","[16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 15 15
 15 15 15 15 15 14 14 14 14 13 12 12 11 11 10  9  9  8  8  7  7  7  7  6
  4  4  4  3  2  2  2  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0]","[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  2  3  3  7
  7  7  9  9  9 10 10 10 10 11 12 12 13 13 13 14 15 15 15 15 15 15 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
 16 16 16 16 16 16 16 16]","[  0.           0.50251256   1.00502513   1.50753769   2.01005025
   2.51256281   3.01507538   3.51758794   4.0201005    4.52261307
   5.02512563   5.52763819   6.03015075   6.53266332   7.03517588
   7.53768844   8.04020101   8.54271357   9.04522613   9.54773869
  10.05025126  10.55276382  11.05527638  11.55778894  12.06030151
  12.56281407  13.06532663  13.5678392   14.07035176  14.57286432
  15.07537688  15.57788945  16.08040201  16.58291457  17.08542714
  17.5879397   18.09045226  18.59296482  19.09547739  19.59798995
  20.10050251  20.60301508  21.10552764  21.6080402   22.11055276
  22.61306533  23.11557789  23.61809045  24.12060302  24.62311558
  25.12562814  25.6281407   26.13065327  26.63316583  27.13567839
  27.63819095  28.14070352  28.64321608  29.14572864  29.64824121
  30.15075377  30.65326633  31.15577889  31.65829146  32.16080402
  32.66331658  33.16582915  33.66834171  34.17085427  34.67336683
  35.1758794   35.67839196  36.18090452  36.68341709  37.18592965
  37.68844221  38.19095477  38.69346734  39.1959799   39.69849246
  40.20100503  40.70351759  41.20603015  41.70854271  42.21105528
  42.71356784  43.2160804   43.71859296  44.22110553  44.72361809
  45.22613065  45.72864322  46.23115578  46.73366834  47.2361809
  47.73869347  48.24120603  48.74371859  49.24623116  49.74874372
  50.25125628  50.75376884  51.25628141  51.75879397  52.26130653
  52.7638191   53.26633166  53.76884422  54.27135678  54.77386935
  55.27638191  55.77889447  56.28140704  56.7839196   57.28643216
  57.78894472  58.29145729  58.79396985  59.29648241  59.79899497
  60.30150754  60.8040201   61.30653266  61.80904523  62.31155779
  62.81407035  63.31658291  63.81909548  64.32160804  64.8241206
  65.32663317  65.82914573  66.33165829  66.83417085  67.33668342
  67.83919598  68.34170854  68.84422111  69.34673367  69.84924623
  70.35175879  70.85427136  71.35678392  71.85929648  72.36180905
  72.86432161  73.36683417  73.86934673  74.3718593   74.87437186
  75.37688442  75.87939698  76.38190955  76.88442211  77.38693467
  77.88944724  78.3919598   78.89447236  79.39698492  79.89949749
  80.40201005  80.90452261  81.40703518  81.90954774  82.4120603
  82.91457286  83.41708543  83.91959799  84.42211055  84.92462312
  85.42713568  85.92964824  86.4321608   86.93467337  87.43718593
  87.93969849  88.44221106  88.94472362  89.44723618  89.94974874
  90.45226131  90.95477387  91.45728643  91.95979899  92.46231156
  92.96482412  93.46733668  93.96984925  94.47236181  94.97487437
  95.47738693  95.9798995   96.48241206  96.98492462  97.48743719
  97.98994975  98.49246231  98.99497487  99.49748744 100.        ]",65.1,16,"[70.85427136 74.3718593  76.38190955 76.88442211 77.88944724 78.89447236
 79.39698492 80.40201005 81.40703518 83.41708543 83.91959799 85.42713568
 85.92964824 87.43718593 87.93969849]","[38.19095477 45.72864322 46.23115578 47.2361809  48.74371859 50.25125628
 52.26130653 52.7638191  53.76884422 55.27638191 55.77889447 58.79396985]",256.2,241.4,498.0,0.5,0.5
