Index,Info,MeanBS,StdBS,MaxBS
0.0,1.0,188.5728125,45.68464057224095,248.8
1.0,1.0,191.67175,47.816461405174046,248.8
2.0,1.0,206.00841875,42.70826718161132,248.8
3.0,3.0,120.930675,30.186043879695053,200.6
4.0,2.0,120.55808125,26.16682112021153,200.6
5.0,3.0,145.69690624999996,15.767576231303314,205.425
6.0,0.0,205.7989875,42.85811635617976,255.6
7.0,2.0,111.84438125,23.96967067380982,185.895
8.0,3.0,202.3955375,39.90247938989623,248.8
9.0,2.0,170.5316,39.743528341920026,253.075
10.0,2.0,167.55323124999995,39.764574519479936,248.8
11.0,0.0,157.16474375,43.760692160209096,223.2
12.0,2.0,114.47876875,24.39357991004546,223.2
13.0,3.0,130.05915000000002,27.215120223462176,220.375
14.0,1.0,166.00108749999995,41.9822760728244,248.8
15.0,1.0,149.88995624999995,19.103872757685448,228.4
16.0,1.0,154.76531874999995,45.634036109215096,222.59
17.0,0.0,157.98401249999995,41.5956998839705,223.2
18.0,2.0,137.144175,25.89794737656587,248.095
19.0,0.0,205.85445,42.74206775835722,248.8
20.0,2.0,164.27498125,40.57463238318861,242.07
21.0,2.0,170.62098749999996,39.34764849819293,248.8
22.0,1.0,178.06624374999996,44.892973951074296,248.8
23.0,2.0,157.65249999999997,44.04232810958681,223.2
24.0,0.0,162.21012499999995,43.66233858669706,211.5
25.0,3.0,160.19154375,27.424683692762734,255.6
26.0,3.0,143.6331125,14.507519278803118,178.79000000000005
27.0,2.0,114.3767,30.032085042251055,200.6
28.0,2.0,204.73356875,43.43628160141904,248.8
29.0,1.0,145.0067875,47.069227983150995,248.8
30.0,1.0,170.39141249999997,38.89319435331641,255.6
31.0,2.0,117.78275,27.78262949555891,223.2
32.0,1.0,163.12198124999995,43.003022956019024,248.8
33.0,2.0,158.25871875,26.51374674842559,251.27
34.0,1.0,163.54551249999997,42.25757187534376,223.2
35.0,3.0,124.48393125,32.125949844152835,200.6
36.0,1.0,205.08745,43.29362087028528,248.8
37.0,2.0,147.8011625,17.425653440720495,234.885
38.0,0.0,203.8207,42.25332123274453,248.8
39.0,0.0,145.08788124999995,15.15474029527226,205.845
40.0,1.0,179.9307875,41.92734878936235,248.8
41.0,2.0,112.95820625,24.203259785640675,200.6
42.0,3.0,163.49031249999996,42.997564645016155,211.5
43.0,2.0,147.72998125,17.083950800924207,255.6
44.0,2.0,148.41563125000005,17.563431527118322,225.485
45.0,0.0,200.5710375,39.790140454936754,248.8
46.0,2.0,204.330275,42.93847663211721,255.6
47.0,0.0,203.06084375,44.135914602728434,248.8
48.0,0.0,193.1092625,44.88194353196054,248.8
49.0,2.0,198.6264625,43.53424120791119,255.6
50.0,3.0,147.8014875,17.41493190949491,220.905
51.0,0.0,204.71389375,43.25030948871883,248.8
