init_eps,min_eps,decay,alpha,gamma,rolling_mean,total_mean,total_std,percent_above_1.5,last_10_mean,last_10_std,rounds_to_stabilize
1.0,0.01,0.995,0.001,0.0,[2.05 2.   1.95 ... 1.   1.   1.  ],1.0351,0.44482354928668066,0.0129,1.013,0.25851692401078885,
1.0,0.01,0.995,0.001,0.9,[2.04 2.08 2.12 ... 0.99 0.99 0.99],1.0474,0.4977481692583107,0.0162,1.011,0.2981258123678659,
1.0,0.01,0.995,0.001,0.99,[2.15 2.2  2.19 ... 0.98 1.02 1.02],1.0455,0.47500499997368445,0.0159,1.021,0.3443239753487985,
1.0,0.01,0.9,0.1,0.0,[1.18 1.14 1.12 ... 0.99 0.99 0.99],1.0163,0.2898867192542632,0.0051,1.004,0.18969449122207002,
1.0,0.01,0.9,0.1,0.9,[1.19 1.15 1.15 ... 0.99 0.99 0.99],1.017,0.29412752336359144,0.0054,1.006,0.18429324458590443,
1.0,0.01,0.9,0.1,0.99,[1.13 1.09 1.09 ... 0.99 0.99 0.99],1.0193,0.3176909032377226,0.0061,1.023,0.34127847866515115,
1.0,0.01,0.9,0.01,0.0,[1.05 1.01 1.02 ... 1.03 1.03 1.03],1.0154,0.29489462524773147,0.0052,1.026,0.36513559125344114,
1.0,0.01,0.9,0.01,0.9,[1.18 1.19 1.2  ... 1.   1.   1.  ],1.0208,0.32552628158107294,0.0065,1.02,0.3155946767611901,
1.0,0.01,0.9,0.01,0.99,[1.15 1.13 1.13 ... 1.   1.   1.  ],1.0137,0.2875974791266433,0.0049,1.002,0.1949256268426499,
1.0,0.01,0.9,0.001,0.0,[1.16 1.17 1.13 ... 1.   1.   1.  ],1.0166,0.30054024688883185,0.0055,1.026,0.36513559125344114,
1.0,0.01,0.9,0.001,0.9,[1.15 1.15 1.11 ... 1.   1.   1.  ],1.0204,0.32308488048808476,0.0064,1.017,0.26212783141055435,
1.0,0.01,0.9,0.001,0.99,[1.23 1.21 1.21 ... 1.12 1.12 1.12],1.0172,0.30050650575320326,0.0056,1.02,0.3155946767611901,
1.0,0.01,0.5,0.1,0.0,[0.98 0.98 0.98 ... 1.04 1.04 1.04],1.0162,0.29006475139182286,0.0051,1.018,0.2961013340057759,
1.0,0.01,0.5,0.1,0.9,[1.02 1.   1.   ... 1.04 1.04 1.04],1.0098,0.2338887769859854,0.0033,1.008,0.22789471253190585,
1.0,0.01,0.5,0.1,0.99,[0.99 1.   1.   ... 1.   1.   1.  ],1.0086,0.24764094976396778,0.0035,1.011,0.26244809010545306,
1.0,0.01,0.5,0.01,0.0,[1.04 1.04 1.04 ... 1.   1.   1.  ],1.0126,0.2593091591132099,0.004,1.021,0.31394107727406434,
1.0,0.01,0.5,0.01,0.9,[1.03 1.03 1.03 ... 1.   1.   1.  ],1.019,0.3076345234202429,0.0057,1.012,0.260491842482639,
1.0,0.01,0.5,0.01,0.99,[1.02 1.02 1.02 ... 1.   1.   1.  ],1.017,0.2910515418272166,0.0051,1.015,0.2545093318524883,
1.0,0.01,0.5,0.001,0.0,[1.07 1.08 1.04 ... 1.   1.   1.  ],1.0149,0.2710682386411215,0.0045,1.009,0.22565238753445532,
1.0,0.01,0.5,0.001,0.9,[1. 1. 1. ... 1. 1. 1.],1.0092,0.23814986878014446,0.0033,1.0,0.2,
1.0,0.01,0.5,0.001,0.99,[1.08 1.04 1.04 ... 1.   1.   1.  ],1.0121,0.26786860584995764,0.0042,1.01,0.2643860813280457,
0.5,0.1,0.995,0.1,0.0,[1.46 1.48 1.48 ... 1.07 1.07 1.07],1.137,0.8776280533346686,0.0491,1.213,1.0127344173079142,
0.5,0.1,0.995,0.1,0.9,[1.62 1.62 1.63 ... 1.04 1.04 1.04],1.1551,0.9133695801809911,0.0534,1.115,0.8147238796058452,
0.5,0.1,0.995,0.1,0.99,[1.41 1.36 1.36 ... 1.23 1.23 1.23],1.1481,0.8961955088037432,0.0502,1.116,0.8102740277214864,
0.5,0.1,0.995,0.01,0.0,[1.38 1.36 1.34 ... 1.14 1.14 1.15],1.1576,0.9125580748642795,0.053,1.221,0.9940618693019061,
0.5,0.1,0.995,0.01,0.9,[1.51 1.51 1.5  ... 1.25 1.25 1.25],1.1562,0.9044343867854648,0.0521,1.171,0.9076117011145239,
0.5,0.1,0.995,0.01,0.99,[1.62 1.62 1.62 ... 1.25 1.25 1.25],1.1565,0.9084094616416101,0.0522,1.169,0.9167546018428269,
0.5,0.1,0.995,0.001,0.0,[1.91 1.91 1.92 ... 1.18 1.17 1.21],1.1484,0.9071810403662547,0.0517,1.088,0.8051434654768055,
0.5,0.1,0.995,0.001,0.9,[1.75 1.71 1.71 ... 1.1  1.1  1.1 ],1.1452,0.8911324031814802,0.0497,1.198,0.9564496850331439,
0.5,0.1,0.995,0.001,0.99,[1.5  1.48 1.5  ... 1.24 1.24 1.24],1.1517,0.9120784560551796,0.0525,1.176,0.9159825325845465,
0.5,0.1,0.9,0.1,0.0,[1.37 1.35 1.31 ... 1.12 1.12 1.12],1.1374,0.8520101173108215,0.046,1.137,0.8174539742395287,
0.5,0.1,0.9,0.1,0.9,[1.13 1.13 1.09 ... 1.19 1.19 1.23],1.1384,0.8670902144529139,0.0468,1.157,0.877696416763792,
0.5,0.1,0.9,0.1,0.99,[1.31 1.31 1.35 ... 1.08 1.08 1.08],1.1463,0.8766392131316052,0.048,1.117,0.8008189558196034,
0.5,0.1,0.9,0.01,0.0,[1.27 1.25 1.25 ... 1.17 1.17 1.16],1.1441,0.8730035452390785,0.0481,1.145,0.8751999771480803,
0.5,0.1,0.9,0.01,0.9,[1.08 1.08 1.08 ... 1.03 1.02 1.02],1.1265,0.8476424659017504,0.0441,1.11,0.8098765338000601,
0.5,0.1,0.9,0.01,0.99,[1.16 1.16 1.16 ... 1.12 1.16 1.15],1.1294,0.840390171289503,0.0443,1.092,0.7466833331473256,
0.5,0.1,0.9,0.001,0.0,[1.08 1.04 1.04 ... 1.23 1.23 1.23],1.1402,0.8762099976603782,0.0475,1.137,0.8498417499746643,
0.5,0.1,0.9,0.001,0.9,[1.08 1.09 1.08 ... 1.09 1.08 1.12],1.1347,0.8500328875990623,0.0451,1.09,0.7306846104852627,
0.5,0.1,0.9,0.001,0.99,[1.18 1.14 1.14 ... 1.18 1.14 1.14],1.1428,0.8851034741768895,0.0488,1.139,0.8715956631374435,
0.5,0.1,0.5,0.1,0.0,[1.05 1.05 1.05 ... 1.1  1.1  1.1 ],1.0815,0.6769473760935927,0.0276,1.07,0.6519969325081214,
0.5,0.1,0.5,0.1,0.9,[1.11 1.11 1.11 ... 1.15 1.15 1.15],1.0909,0.7194700758196966,0.0314,1.057,0.6322586496047325,
0.5,0.1,0.5,0.1,0.99,[1.07 1.07 1.07 ... 1.13 1.13 1.13],1.0921,0.7112085418497164,0.0306,1.107,0.7359014879724052,
0.5,0.1,0.5,0.01,0.0,[1.16 1.12 1.12 ... 0.98 0.98 0.98],1.0863,0.6912686236189227,0.029,1.09,0.7084490101623405,
0.5,0.1,0.5,0.01,0.9,[1.05 1.05 1.01 ... 1.07 1.07 1.07],1.0871,0.6975052616288998,0.0299,1.077,0.6892539444936097,
0.5,0.1,0.5,0.01,0.99,[0.98 0.98 0.98 ... 1.17 1.17 1.18],1.0784,0.6665233979388869,0.027,1.106,0.7581319146428279,
0.5,0.1,0.5,0.001,0.0,[0.95 0.96 0.96 ... 1.17 1.17 1.17],1.0894,0.7066877952816222,0.0304,1.107,0.7625949121256973,
0.5,0.1,0.5,0.001,0.9,[1.12 1.12 1.12 ... 1.01 1.01 1.01],1.0988,0.7321465427084934,0.033,1.094,0.7369966078619358,
0.5,0.1,0.5,0.001,0.99,[1.11 1.11 1.11 ... 1.17 1.17 1.17],1.076,0.6814866102866587,0.0278,1.087,0.6763364547324061,
0.5,0.01,0.995,0.1,0.0,[1.6  1.64 1.68 ... 0.99 0.99 0.99],1.0272,0.4020698446787573,0.0099,1.02,0.3155946767611901,
0.5,0.01,0.995,0.1,0.9,[1.37 1.37 1.37 ... 1.   1.   1.  ],1.0257,0.3811030175687409,0.009,1.018,0.2857901327897799,
0.5,0.01,0.995,0.1,0.99,[1.5  1.5  1.5  ... 0.99 0.99 0.99],1.0247,0.37985511711703973,0.0089,1.024,0.36800000000000005,
0.5,0.01,0.995,0.01,0.0,[1.54 1.5  1.51 ... 1.   1.   1.  ],1.0236,0.3680258686559954,0.0084,1.032,0.38337449054416745,
0.5,0.01,0.995,0.01,0.9,[1.62 1.62 1.59 ... 1.   1.   1.  ],1.0322,0.4120232517710621,0.0105,1.02,0.31559467676119,
0.5,0.01,0.995,0.01,0.99,[1.58 1.6  1.61 ... 1.   1.   1.  ],1.023,0.35926452649823365,0.0084,1.011,0.23426267308301593,
0.5,0.01,0.995,0.001,0.0,[1.41 1.4  1.4  ... 1.02 1.02 1.02],1.023,0.36203729089694614,0.0085,1.016,0.3220931542271584,
0.5,0.01,0.995,0.001,0.9,[1.49 1.49 1.45 ... 0.99 0.99 0.99],1.0266,0.3761548085562645,0.009,1.017,0.28759520162895624,
0.5,0.01,0.995,0.001,0.99,[1.59 1.59 1.59 ... 1.03 1.03 1.03],1.0314,0.4081838311349434,0.0103,0.999,0.20248209797411723,
0.5,0.01,0.9,0.1,0.0,[1.02 1.02 1.03 ... 0.99 0.99 0.99],1.0091,0.24252255565204653,0.0034,0.996,0.063118935352238,
0.5,0.01,0.9,0.1,0.9,[1.15 1.11 1.09 ... 1.04 1.04 1.04],1.0118,0.2743369461082484,0.0045,1.02,0.3458323293158117,
0.5,0.01,0.9,0.1,0.99,[0.96 0.96 0.96 ... 1.04 1.04 1.04],1.0133,0.2802197530510653,0.0046,1.01,0.2643860813280457,
0.5,0.01,0.9,0.01,0.0,[1.14 1.14 1.15 ... 0.99 0.99 0.99],1.0179,0.30162823143731093,0.0056,1.016,0.28938555596297477,
0.5,0.01,0.9,0.01,0.9,[1.06 1.06 1.06 ... 1.08 1.08 1.08],1.0163,0.3000571778844826,0.0054,1.022,0.34280606762424726,
0.5,0.01,0.9,0.01,0.99,[1.15 1.15 1.16 ... 1.03 1.03 1.03],1.0172,0.3074152891448309,0.0056,1.012,0.260491842482639,
0.5,0.01,0.9,0.001,0.0,[0.96 0.96 0.96 ... 1.   1.   1.  ],1.0164,0.2955182566272344,0.0052,1.025,0.338193731461717,
0.5,0.01,0.9,0.001,0.9,[1.14 1.14 1.15 ... 1.04 1.04 1.04],1.0131,0.2780798266685306,0.0046,1.018,0.318866743327052,
0.5,0.01,0.9,0.001,0.99,[1.04 1.04 1.04 ... 1.   1.   1.  ],1.0101,0.2603804716179768,0.0039,1.019,0.2839700688452922,
0.5,0.01,0.5,0.1,0.0,[1.04 1.04 1.04 ... 1.04 1.04 1.04],1.0172,0.29069599240443617,0.0051,1.028,0.33349062955351527,
0.5,0.01,0.5,0.1,0.9,[1.   1.   1.   ... 1.03 1.03 1.03],1.0086,0.22655251046942737,0.003,1.005,0.18701604209265046,
0.5,0.01,0.5,0.1,0.99,[1. 1. 1. ... 1. 1. 1.],1.0128,0.26274733109967074,0.0041,1.004,0.18969449122207002,
0.5,0.01,0.5,0.01,0.0,[1.07 1.07 1.07 ... 0.99 1.   1.  ],1.0108,0.2471504804769758,0.0036,1.004,0.18969449122207005,
0.5,0.01,0.5,0.01,0.9,[1.   1.   1.   ... 0.99 0.99 0.99],1.0089,0.23456510823223478,0.0032,1.015,0.29116146723081343,
0.5,0.01,0.5,0.01,0.99,[1.11 1.11 1.11 ... 1.02 1.02 1.02],1.0148,0.28457153757886605,0.0048,1.019,0.3473312539924963,
0.5,0.01,0.5,0.001,0.0,[1.   1.   1.   ... 1.04 1.04 1.04],1.007,0.22572328191837016,0.0029,1.007,0.23011084285622008,
0.5,0.01,0.5,0.001,0.9,[1. 1. 1. ... 1. 1. 1.],1.0158,0.28974188513226734,0.005,1.014,0.2565229034608801,
0.5,0.01,0.5,0.001,0.99,[1.04 1.   1.   ... 1.   1.   1.  ],1.0145,0.2826477489738774,0.0048,1.008,0.22789471253190585,
0.2,0.1,0.995,0.1,0.0,[1.37 1.37 1.37 ... 1.11 1.11 1.11],1.1394,0.8838368854036359,0.0491,1.151,0.8934198341205551,
0.2,0.1,0.995,0.1,0.9,[1.19 1.18 1.18 ... 1.2  1.2  1.2 ],1.1523,0.9059275412526103,0.0517,1.155,0.9126746408222375,
0.2,0.1,0.995,0.1,0.99,[1.18 1.18 1.18 ... 1.19 1.23 1.23],1.1556,0.9055322412813362,0.0523,1.181,0.9686273793363475,
0.2,0.1,0.995,0.01,0.0,[1.19 1.15 1.15 ... 1.22 1.22 1.18],1.1647,0.9148627820607853,0.0534,1.166,0.9112870019922374,
0.2,0.1,0.995,0.01,0.9,[1.14 1.14 1.14 ... 1.1  1.1  1.06],1.1502,0.8962365535950874,0.0502,1.168,0.9283189107198022,
0.2,0.1,0.995,0.01,0.99,[1.22 1.22 1.22 ... 1.11 1.11 1.11],1.1448,0.886923311228203,0.0493,1.117,0.8493003002472094,
0.2,0.1,0.995,0.001,0.0,[1.35 1.35 1.35 ... 1.01 1.01 1.01],1.1582,0.9077294530861055,0.0526,1.137,0.8650034682011396,
0.2,0.1,0.995,0.001,0.9,[0.96 0.96 0.96 ... 1.06 1.06 1.06],1.1409,0.8845604501672002,0.048,1.195,1.0034814397884995,
0.2,0.1,0.995,0.001,0.99,[1.09 1.09 1.09 ... 1.1  1.1  1.1 ],1.1296,0.8586057535330169,0.046,1.116,0.8570554241121167,
0.2,0.1,0.9,0.1,0.0,[1.2  1.2  1.2  ... 1.16 1.16 1.16],1.1412,0.8804899545139626,0.0485,1.172,0.9541572197494499,
0.2,0.1,0.9,0.1,0.9,[1.12 1.08 1.09 ... 1.14 1.14 1.14],1.1388,0.8726594753969042,0.0478,1.168,0.9142078538275636,
0.2,0.1,0.9,0.1,0.99,[0.99 0.99 0.99 ... 1.15 1.15 1.15],1.1373,0.871693013623489,0.0472,1.146,0.8824307338256073,
0.2,0.1,0.9,0.01,0.0,[1.13 1.13 1.13 ... 1.1  1.1  1.08],1.1316,0.8482225179750889,0.0451,1.116,0.817645399913679,
0.2,0.1,0.9,0.01,0.9,[1.22 1.22 1.26 ... 1.15 1.15 1.15],1.1511,0.8835546332853447,0.0499,1.146,0.8824307338256073,
0.2,0.1,0.9,0.01,0.99,[1.09 1.09 1.09 ... 1.02 1.02 1.02],1.1521,0.8975330578870064,0.0503,1.117,0.8168910576080508,
0.2,0.1,0.9,0.001,0.0,[1.26 1.22 1.22 ... 1.24 1.24 1.24],1.1479,0.8971207220881703,0.0509,1.118,0.8485729196716095,
0.2,0.1,0.9,0.001,0.9,[1.3  1.3  1.3  ... 1.13 1.13 1.13],1.1453,0.8785146043179931,0.0488,1.162,0.910909435674041,
0.2,0.1,0.9,0.001,0.99,[1.14 1.1  1.1  ... 1.01 0.97 0.97],1.1549,0.9023890458111734,0.0512,1.157,0.8627577875626508,
0.2,0.1,0.5,0.1,0.0,[1.14 1.14 1.14 ... 1.16 1.16 1.16],1.1517,0.896597518399421,0.0504,1.118,0.8414725188620242,
0.2,0.1,0.5,0.1,0.9,[1.03 1.03 1.04 ... 1.24 1.23 1.23],1.1527,0.9017664387190288,0.051,1.156,0.9009239701550849,
0.2,0.1,0.5,0.1,0.99,[1.27 1.27 1.27 ... 1.07 1.07 1.07],1.1518,0.8974167147986492,0.0509,1.159,0.8909090862708721,
0.2,0.1,0.5,0.01,0.0,[1.19 1.19 1.19 ... 1.08 1.08 1.08],1.1635,0.9149687153121684,0.0527,1.199,0.9936795258029624,
0.2,0.1,0.5,0.01,0.9,[1.09 1.09 1.09 ... 1.18 1.18 1.18],1.1393,0.880054265372312,0.0482,1.142,0.8920964073462017,
0.2,0.1,0.5,0.01,0.99,[1.12 1.16 1.16 ... 1.02 1.02 1.02],1.1524,0.899763435576263,0.0508,1.146,0.8892041385418761,
0.2,0.1,0.5,0.001,0.0,[1.24 1.24 1.24 ... 1.2  1.2  1.24],1.1563,0.9004833757488253,0.0514,1.171,0.9293863566891867,
0.2,0.1,0.5,0.001,0.9,[1.17 1.17 1.17 ... 0.97 0.98 0.98],1.1518,0.9103607856229309,0.0513,1.159,0.9569320770044235,
0.2,0.1,0.5,0.001,0.99,[1.07 1.11 1.11 ... 1.07 1.07 1.07],1.1432,0.887633798365069,0.0494,1.167,0.9408033800959688,
0.2,0.01,0.995,0.1,0.0,[1.3  1.34 1.34 ... 1.   1.   1.  ],1.0203,0.34247322523082,0.0069,1.033,0.40732174015144346,
0.2,0.01,0.995,0.1,0.9,[1.25 1.25 1.25 ... 1.   1.   1.  ],1.0187,0.32272327155010067,0.0063,1.006,0.23230152819127126,
